# timestamp_s tx ty tz qx qy qz qw
1.628080349497617041e+09 0.00004 0.00050 0.00046 -0.00002 -0.00001 0.00002 1.00000
1.628080349597790910e+09 0.00081 -0.00389 -0.00074 0.00004 0.00000 0.00002 -1.00000
1.628080349699718932e+09 -0.00089 -0.00300 0.00019 -0.00001 0.00001 0.00004 1.00000
1.628080349792936143e+09 0.00215 -0.00318 -0.00233 -0.00004 0.00001 0.00004 1.00000
1.628080349893707979e+09 0.00512 -0.00198 0.00059 0.00002 0.00000 0.00001 -1.00000
1.628080349994412979e+09 0.00410 0.00113 0.00062 0.00001 -0.00000 0.00001 -1.00000
1.628080350094941009e+09 0.00104 0.00357 -0.00009 -0.00004 -0.00001 0.00003 1.00000
1.628080350195880932e+09 0.00217 0.00362 -0.00051 0.00001 0.00001 0.00002 -1.00000
1.628080350296755130e+09 0.00197 0.00737 -0.00158 -0.00001 -0.00001 0.00003 1.00000
1.628080350397562936e+09 0.00170 0.00892 -0.00054 -0.00002 0.00000 0.00004 1.00000
1.628080350498503970e+09 0.00231 0.00920 -0.00144 0.00002 0.00001 0.00000 -1.00000
1.628080350598841930e+09 -0.00025 0.00782 -0.00075 -0.00001 -0.00002 0.00003 1.00000
1.628080350699554035e+09 0.00207 0.00449 -0.00117 -0.00000 -0.00003 0.00004 1.00000
1.628080350800693132e+09 0.00245 0.00275 -0.00051 -0.00002 -0.00002 0.00001 1.00000
1.628080350894462125e+09 0.00170 0.00234 -0.00173 -0.00002 -0.00002 0.00002 1.00000
1.628080350995450898e+09 0.00007 0.00216 0.00011 0.00001 -0.00000 0.00001 -1.00000
1.628080351096165890e+09 0.00139 0.00178 -0.00144 0.00003 0.00000 0.00004 -1.00000
1.628080351197328968e+09 0.00004 0.00126 -0.00159 0.00001 -0.00001 0.00006 -1.00000
1.628080351297918948e+09 0.00209 -0.00192 -0.00157 0.00003 0.00001 0.00008 -1.00000
1.628080351398617953e+09 0.00405 -0.00163 -0.00200 -0.00004 -0.00001 0.00002 1.00000
1.628080351505599932e+09 0.00273 0.00121 -0.00220 -0.00004 0.00001 0.00001 1.00000
1.628080351600279974e+09 -0.00106 0.00245 -0.00120 -0.00003 -0.00000 0.00003 1.00000
1.628080351700887940e+09 -0.00267 0.00013 -0.00100 -0.00003 0.00000 0.00007 1.00000
1.628080351801080017e+09 -0.00198 -0.00157 -0.00145 -0.00003 0.00000 0.00004 1.00000
1.628080351902049916e+09 -0.00054 -0.00239 -0.00184 -0.00003 0.00000 0.00002 1.00000
1.628080352002388986e+09 0.00023 -0.00031 -0.00191 -0.00003 -0.00001 0.00001 1.00000
1.628080352102770023e+09 -0.00033 0.00055 -0.00034 -0.00002 0.00001 0.00003 1.00000
1.628080352204704040e+09 -0.00116 0.00215 -0.00150 0.00002 0.00000 0.00001 -1.00000
1.628080352296878974e+09 -0.00273 0.00221 -0.00180 0.00003 0.00001 0.00002 -1.00000
1.628080352397752950e+09 -0.00340 -0.00082 -0.00039 -0.00002 -0.00001 0.00001 1.00000
1.628080352498549876e+09 -0.00123 -0.00274 -0.00143 -0.00004 0.00000 0.00000 1.00000
1.628080352598383795e+09 -0.00000 -0.00415 -0.00057 -0.00001 0.00001 0.00001 1.00000
1.628080352699236011e+09 -0.00013 -0.00469 -0.00010 -0.00002 -0.00000 0.00001 1.00000
1.628080352799730068e+09 0.00047 -0.00348 -0.00049 -0.00000 -0.00001 0.00002 1.00000
1.628080352900940886e+09 0.00178 -0.00027 -0.00105 -0.00002 -0.00000 0.00001 1.00000
1.628080353002341107e+09 0.00251 0.00339 -0.00021 0.00001 0.00000 0.00000 -1.00000
1.628080353101986955e+09 0.00261 0.00454 -0.00066 0.00003 0.00001 0.00004 -1.00000
1.628080353202890018e+09 0.00243 0.00229 -0.00083 0.00002 0.00001 0.00003 -1.00000
1.628080353303112959e+09 0.00362 0.00028 -0.00034 0.00002 0.00001 0.00001 -1.00000
1.628080353404126823e+09 0.00461 -0.00053 -0.00172 0.00003 -0.00000 0.00001 -1.00000
1.628080353503989830e+09 0.00626 -0.00050 -0.00071 -0.00003 0.00000 0.00002 1.00000
1.628080353604836938e+09 0.00574 -0.00057 -0.00155 -0.00003 0.00000 0.00000 1.00000
1.628080353705265937e+09 0.00504 -0.00191 -0.00201 -0.00004 -0.00001 0.00001 1.00000
1.628080353806821146e+09 0.00264 -0.00193 -0.00148 0.00002 0.00001 0.00002 -1.00000
1.628080353900075883e+09 0.00273 -0.00129 -0.00047 -0.00002 -0.00001 0.00002 1.00000
1.628080354000623009e+09 0.00266 -0.00076 -0.00058 -0.00002 -0.00000 0.00001 1.00000
1.628080354100927218e+09 0.00275 0.00108 -0.00166 0.00002 0.00001 0.00001 -1.00000
1.628080354202130930e+09 -0.00541 0.00766 -0.00154 -0.00003 -0.00001 0.00006 1.00000
1.628080354303636179e+09 -0.02075 0.01080 -0.00155 -0.00001 -0.00002 0.00003 1.00000
1.628080354403832031e+09 -0.02784 0.01243 -0.00164 0.00004 -0.00000 0.00008 -1.00000
1.628080354504762850e+09 -0.03544 0.01592 0.00125 0.00002 0.00007 0.00035 -1.00000
1.628080354605319080e+09 -0.04383 0.01712 0.00508 0.00015 0.00021 0.00089 -1.00000
1.628080354703733912e+09 -0.02500 0.00201 0.02021 0.00075 0.00093 0.00160 -1.00000
1.628080354805244934e+09 0.01971 -0.01824 0.01614 0.00112 0.00157 0.00295 -0.99999
1.628080354902990967e+09 0.07693 -0.02864 0.00205 0.00147 0.00151 0.00495 -0.99999
1.628080355003763913e+09 0.12940 -0.03472 0.00256 0.00175 0.00158 0.00781 -0.99997
1.628080355102601962e+09 0.17727 -0.02977 0.00550 0.00174 0.00142 0.01068 -0.99994
1.628080355204218010e+09 0.23544 -0.02551 0.00345 0.00143 0.00103 0.01352 -0.99991
1.628080355301668947e+09 0.29101 -0.02569 -0.00346 0.00097 0.00070 0.01615 -0.99987
1.628080355410255864e+09 0.35704 -0.02752 -0.00119 0.00094 0.00062 0.01955 -0.99981
1.628080355507486088e+09 0.41119 -0.02230 0.00302 0.00145 0.00068 0.02223 -0.99975
1.628080355607429031e+09 0.47324 -0.01154 -0.00150 0.00177 0.00038 0.02357 -0.99972
1.628080355706013949e+09 0.53732 0.00621 -0.00543 0.00117 -0.00038 0.02380 -0.99972
1.628080355804359058e+09 0.59675 0.02726 0.00192 0.00027 -0.00037 0.02304 -0.99973
1.628080355902935983e+09 0.65401 0.04850 0.00915 -0.00002 0.00001 0.02142 -0.99977
1.628080356006119001e+09 0.71209 0.06607 0.00269 0.00023 0.00004 0.01844 -0.99983
1.628080356104064874e+09 0.76640 0.07149 -0.00019 0.00094 -0.00000 0.01477 -0.99989
1.628080356203524204e+09 0.82245 0.06829 0.00887 0.00192 0.00051 0.01023 -0.99995
1.628080356303827081e+09 0.87959 0.06490 0.01317 0.00256 0.00085 0.00581 -0.99998
1.628080356404633999e+09 0.92632 0.06656 0.01064 0.00279 0.00114 0.00111 -0.99999
1.628080356508745830e+09 0.96253 0.06282 0.01716 -0.00317 -0.00180 0.00343 0.99999
1.628080356607598089e+09 0.99073 0.06108 0.01920 -0.00341 -0.00221 0.00799 0.99996
1.628080356707465981e+09 1.01437 0.05764 0.01360 -0.00322 -0.00217 0.01227 0.99992
1.628080356805960971e+09 1.03187 0.04640 0.00493 -0.00282 -0.00232 0.01599 0.99987
1.628080356905220016e+09 1.04924 0.02507 0.00365 -0.00240 -0.00270 0.01936 0.99981
1.628080357011070900e+09 1.07092 0.00627 0.00115 -0.00235 -0.00303 0.02228 0.99974
1.628080357109445098e+09 1.09225 -0.00379 0.00821 -0.00275 -0.00357 0.02480 0.99968
1.628080357214634954e+09 1.12584 -0.00558 0.01431 -0.00322 -0.00414 0.02716 0.99962
1.628080357305841996e+09 1.16422 -0.00902 0.00826 -0.00332 -0.00432 0.02882 0.99957
1.628080357411000101e+09 1.21004 -0.01709 -0.00023 -0.00318 -0.00462 0.03022 0.99953
1.628080357509929854e+09 1.24638 -0.02173 -0.00495 -0.00301 -0.00473 0.03134 0.99949
1.628080357616614959e+09 1.27842 -0.02544 -0.00797 -0.00315 -0.00457 0.03198 0.99947
