# timestamp_s tx ty tz qx qy qz qw
1.717159922179832154e+09 0.00012 0.00007 0.00003 -0.00027 0.00023 0.00182 -1.00000
1.717159922269832384e+09 0.01825 -0.02144 -0.00482 -0.00074 0.00061 0.00244 -1.00000
1.717159922379832171e+09 0.02720 0.00895 -0.00035 0.00041 -0.00076 0.00113 1.00000
1.717159922469832400e+09 0.02916 0.04231 0.00003 -0.00009 0.00053 0.00018 -1.00000
1.717159922579832410e+09 0.03077 0.08267 0.01313 -0.00109 -0.00038 0.00080 1.00000
1.717159922679832196e+09 0.02104 0.11174 0.02453 -0.00229 -0.00011 0.00018 1.00000
1.717159922769832425e+09 0.00212 0.12068 0.04055 0.00303 -0.00044 0.00196 -0.99999
1.717159922879832212e+09 -0.02334 0.12875 0.05384 0.00326 -0.00060 0.00141 -0.99999
1.717159922969832442e+09 -0.02281 0.12173 0.05471 0.00292 -0.00047 0.00202 -0.99999
1.717159923079840667e+09 0.00468 0.08483 0.04575 0.00192 -0.00030 0.00421 -0.99999
1.717159923179840897e+09 0.03418 0.05507 0.01032 -0.00012 -0.00018 0.00020 1.00000
1.717159923269840682e+09 0.05558 0.02802 -0.02210 -0.00178 0.00000 0.00235 -1.00000
1.717159923379840913e+09 0.08564 -0.00329 -0.04683 -0.00411 -0.00124 0.00461 -0.99998
1.717159923469840699e+09 0.12144 -0.02742 -0.06763 -0.00583 -0.00277 0.00786 -0.99995
1.717159923569840707e+09 0.16307 -0.06323 -0.08830 -0.00761 -0.00460 0.00951 -0.99992
1.717159923679840716e+09 0.15177 -0.04987 -0.10006 -0.00826 -0.00658 0.00242 -0.99994
1.717159923769840724e+09 0.10460 -0.01583 -0.11138 0.00816 0.00842 0.00052 0.99993
1.717159923879840955e+09 0.06526 0.11066 -0.12005 0.00738 0.01005 0.01322 0.99983
1.717159923969840740e+09 0.01300 0.20549 -0.12714 0.00666 0.01176 0.01579 0.99978
1.717159924069849186e+09 -0.01103 0.26490 -0.12947 0.00532 0.01384 0.01802 0.99973
1.717159924179849195e+09 -0.04170 0.33326 -0.10927 0.00290 0.01577 0.02330 0.99960
1.717159924269849203e+09 -0.05370 0.35553 -0.07303 0.00088 0.01656 0.02411 0.99957
1.717159924379849212e+09 -0.07049 0.40271 -0.02651 -0.00126 0.01651 0.02923 0.99944
1.717159924469849441e+09 -0.06975 0.41789 0.00196 -0.00197 0.01547 0.02941 0.99945
1.717159924569849228e+09 -0.03995 0.41998 0.01199 -0.00161 0.01355 0.02864 0.99950
1.717159924679849237e+09 -0.00672 0.41595 0.01420 -0.00014 0.01097 0.02851 0.99953
1.717159924769849244e+09 0.02768 0.41268 0.00279 0.00206 0.00855 0.02757 0.99958
1.717159924879849253e+09 0.06892 0.42033 -0.01619 0.00551 0.00602 0.02850 0.99956
1.717159924969849261e+09 0.09903 0.43500 -0.03878 0.00830 0.00434 0.02796 0.99957
1.717159925079857929e+09 0.12304 0.46268 -0.07998 0.01114 0.00311 0.02817 0.99954
1.717159925179857716e+09 0.12700 0.48590 -0.12131 0.01229 0.00349 0.02795 0.99953
1.717159925269857723e+09 0.11908 0.50653 -0.15330 0.01187 0.00550 0.02965 0.99947
1.717159925379857732e+09 0.09890 0.54503 -0.17708 0.00964 0.00950 0.03391 0.99933
1.717159925469857740e+09 0.08319 0.56530 -0.17855 0.00699 0.01279 0.03489 0.99928
1.717159925569857748e+09 0.07954 0.66100 -0.15829 0.00421 0.01539 0.04935 0.99865
1.717159925679857757e+09 0.10516 0.80822 -0.11313 0.00175 0.01757 0.07391 0.99711
1.717159925769857542e+09 0.11293 0.92044 -0.07003 0.00067 0.01926 0.07947 0.99665
1.717159925879857774e+09 0.13433 1.14547 -0.02314 -0.00026 0.02086 0.09890 0.99488
1.717159925969857781e+09 0.14750 1.33079 0.00214 -0.00026 0.02097 0.10303 0.99446
1.717159926069866227e+09 0.16858 1.47466 0.00912 0.00012 0.02078 0.10337 0.99443
1.717159926179866014e+09 0.20006 1.69493 -0.00434 0.00137 0.02011 0.11943 0.99264
1.717159926269866244e+09 0.28463 1.85471 -0.01734 0.00211 0.02011 0.10954 0.99378
1.717159926379866031e+09 0.33495 1.96068 -0.03245 0.00277 0.02009 0.12027 0.99253
1.717159926469866038e+09 0.36006 2.02376 -0.03990 0.00206 0.02006 0.11630 0.99301
1.717159926579866269e+09 0.38376 2.05913 -0.04200 0.00235 0.02014 0.12266 0.99224
1.717159926679866055e+09 0.40241 2.06583 -0.04501 0.00260 0.02121 0.12359 0.99210
1.717159926769866285e+09 0.42347 2.05459 -0.04512 0.00207 0.02457 0.11501 0.99306
1.717159926879866072e+09 0.46472 2.02832 -0.02509 0.00273 0.02990 0.11376 0.99305
1.717159926969866079e+09 0.51067 1.98651 -0.01012 0.00344 0.03251 0.11182 0.99319
1.717159927079874748e+09 0.55700 1.87108 0.01118 0.00447 0.03464 0.09442 0.99492
1.717159927179874757e+09 0.58753 1.75958 0.03286 0.00571 0.03566 0.09080 0.99521
1.717159927269874542e+09 0.63080 1.64513 0.04602 0.00650 0.03563 0.08096 0.99606
1.717159927379874773e+09 0.64096 1.46203 0.07717 0.00610 0.03537 0.06740 0.99708
1.717159927469874559e+09 0.67337 1.30885 0.10085 0.00468 0.03509 0.05722 0.99773
1.717159927579874568e+09 0.69462 1.13598 0.11800 0.00288 0.03446 0.07232 0.99678
1.717159927679874576e+09 0.69890 1.00704 0.12952 0.00068 0.03259 0.07294 0.99680
1.717159927769874583e+09 0.69509 0.91335 0.13676 -0.00015 0.02979 0.07453 0.99677
1.717159927879874814e+09 0.68835 0.82034 0.13425 -0.00102 0.02551 0.08533 0.99603
1.717159927969874600e+09 0.69504 0.76609 0.10997 -0.00143 0.02187 0.08695 0.99597
1.717159928079883047e+09 0.72753 0.72090 0.07503 -0.00125 0.01679 0.08489 0.99625
1.717159928179883055e+09 0.76570 0.69232 0.04308 -0.00030 0.01498 0.08314 0.99643
1.717159928269883062e+09 0.80089 0.67576 0.00845 0.00036 0.01686 0.08219 0.99647
1.717159928379883072e+09 0.83442 0.66452 -0.02897 0.00112 0.02063 0.08152 0.99646
1.717159928469882857e+09 0.84257 0.67018 -0.04812 0.00119 0.02477 0.08397 0.99616
1.717159928579883088e+09 0.84045 0.71990 -0.05205 0.00097 0.03183 0.07098 0.99697
1.717159928679883096e+09 0.82616 0.77008 -0.03310 -0.00043 0.03275 0.07504 0.99664
1.717159928769883104e+09 0.80803 0.80649 0.00269 -0.00132 0.03225 0.07771 0.99645
1.717159928879883113e+09 0.78799 0.84215 0.04613 -0.00250 0.03022 0.07123 0.99700
1.717159928969882898e+09 0.77272 0.86493 0.08435 -0.00217 0.02939 0.07234 0.99694
1.717159929069891788e+09 0.78228 0.88969 0.13096 -0.00190 0.02890 0.06065 0.99774
1.717159929179891575e+09 0.79505 0.92669 0.17213 -0.00151 0.02882 0.06685 0.99735
1.717159929269891583e+09 0.79519 0.94374 0.19749 -0.00054 0.02860 0.06130 0.99771
1.717159929379891592e+09 0.83000 0.98491 0.21385 0.00084 0.02691 0.05191 0.99829
1.717159929469891599e+09 0.86120 1.01549 0.21339 0.00158 0.02525 0.05183 0.99834
1.717159929569891608e+09 0.92613 1.04819 0.20150 0.00213 0.02491 0.04902 0.99848
1.717159929679891617e+09 0.99419 1.09223 0.17467 0.00270 0.02571 0.05689 0.99805
1.717159929769891402e+09 1.03549 1.13171 0.14435 0.00315 0.02581 0.05681 0.99805
1.717159929879891633e+09 1.07828 1.17216 0.09804 0.00378 0.02447 0.04608 0.99863
1.717159929969891641e+09 1.09775 1.20151 0.05712 0.00443 0.02235 0.05097 0.99844
1.717159930069900087e+09 1.11052 1.23275 0.00671 0.00486 0.02018 0.05018 0.99852
1.717159930179899874e+09 1.12737 1.26067 -0.05407 0.00481 0.01806 0.04928 0.99861
1.717159930269900103e+09 1.14474 1.27450 -0.10688 0.00469 0.01636 0.04852 0.99868
1.717159930379899890e+09 1.16538 1.28489 -0.16724 0.00498 0.01372 0.05030 0.99863
1.717159930469900120e+09 1.18787 1.29009 -0.20106 0.00488 0.01140 0.04845 0.99875
1.717159930569900128e+09 1.22216 1.29150 -0.22196 0.00421 0.01101 0.04692 0.99883
1.717159930679899915e+09 1.25739 1.29001 -0.23708 0.00368 0.01310 0.04577 0.99886
1.717159930769900145e+09 1.29351 1.28602 -0.24015 0.00335 0.01341 0.04461 0.99891
1.717159930879899932e+09 1.33207 1.28151 -0.23632 0.00299 0.01384 0.04321 0.99897
1.717159930969900161e+09 1.36202 1.27293 -0.22559 0.00279 0.01321 0.04246 0.99901
1.717159931079908608e+09 1.39655 1.26100 -0.21238 0.00252 0.01321 0.04147 0.99905
1.717159931179908616e+09 1.42793 1.25373 -0.19984 0.00229 0.01324 0.04066 0.99908
1.717159931269908624e+09 1.44975 1.24390 -0.19203 0.00201 0.01357 0.03995 0.99911
1.717159931379908633e+09 1.46940 1.22945 -0.18420 0.00170 0.01373 0.03935 0.99913
1.717159931469908640e+09 1.48130 1.21325 -0.18626 0.00150 0.01381 0.03872 0.99915
1.717159931579908649e+09 1.49242 1.19128 -0.19008 0.00157 0.01368 0.03785 0.99919
1.717159931679908436e+09 1.49814 1.17274 -0.19902 0.00145 0.01340 0.03703 0.99922
1.717159931769908665e+09 1.50238 1.15865 -0.20721 0.00138 0.01322 0.03650 0.99925
1.717159931879908452e+09 1.51001 1.14852 -0.21496 0.00131 0.01332 0.03573 0.99927
1.717159931969908682e+09 1.51526 1.14469 -0.21886 0.00132 0.01339 0.03525 0.99929
1.717159932079917128e+09 1.51660 1.14427 -0.22019 0.00138 0.01345 0.03474 0.99930
1.717159932179917137e+09 1.51286 1.14956 -0.22086 0.00134 0.01347 0.03438 0.99932
1.717159932269916922e+09 1.50569 1.16006 -0.22038 0.00130 0.01343 0.03415 0.99933
1.717159932379917153e+09 1.50242 1.17602 -0.21786 0.00117 0.01332 0.03382 0.99934
1.717159932469917161e+09 1.49942 1.19027 -0.21825 0.00111 0.01330 0.03365 0.99934
1.717159932579917170e+09 1.49599 1.20940 -0.21398 0.00100 0.01341 0.03337 0.99935
1.717159932679917178e+09 1.49671 1.22036 -0.21086 0.00093 0.01341 0.03322 0.99936
1.717159932769916963e+09 1.49623 1.22398 -0.21066 0.00090 0.01331 0.03285 0.99937
1.717159932879917195e+09 1.49602 1.22460 -0.21138 0.00087 0.01327 0.03259 0.99938
1.717159932969916980e+09 1.49889 1.21865 -0.21532 0.00089 0.01326 0.03229 0.99939
1.717159933079925427e+09 1.50085 1.20902 -0.22152 0.00089 0.01340 0.03190 0.99940
1.717159933179925657e+09 1.49930 1.19795 -0.22475 0.00085 0.01353 0.03141 0.99941
1.717159933269925665e+09 1.49349 1.18709 -0.22173 0.00080 0.01352 0.03108 0.99943
1.717159933379925452e+09 1.48680 1.17812 -0.21061 0.00083 0.01358 0.03063 0.99944
1.717159933469925681e+09 1.48354 1.17517 -0.19670 0.00092 0.01356 0.03032 0.99945
